# Lumina Exoplanet Transit Photometry Archive
# Target: K2-18b
# Host Star: K2-18 (EPIC 201912552)
# Period: 32.93963 days | Transit Depth: 2980 ppm | Duration: 3.4 hr
# Columns: time_bjd,relative_flux,flux_err
0.0000,1.00015,0.00015
0.0250,0.99989,0.00015
0.0500,1.00008,0.00015
0.0750,0.99995,0.00015
0.1000,1.00012,0.00015
0.1250,0.99982,0.00015
0.1400,0.99820,0.00015
0.1500,0.99705,0.00015
0.1600,0.99702,0.00015
0.1700,0.99710,0.00015
0.1800,0.99840,0.00015
0.2000,1.00004,0.00015
0.2250,0.99997,0.00015
0.2500,1.00018,0.00015
0.2750,0.99985,0.00015
0.3000,1.00009,0.00015
0.3250,0.99992,0.00015
0.3500,1.00014,0.00015
