# Lumina Exoplanet Transit Photometry Archive
# Target: Kepler-90h
# Host Star: Kepler-90 (KIC 11442793)
# Period: 331.60059 days | Transit Depth: 6200 ppm | Duration: 14.2 hr
# Columns: time_bjd,relative_flux,flux_err
0.0000,1.00021,0.00022
0.0500,0.99984,0.00022
0.1000,1.00015,0.00022
0.1500,0.99992,0.00022
0.2000,1.00005,0.00022
0.2500,0.99988,0.00022
0.2800,0.99750,0.00022
0.3000,0.99420,0.00022
0.3200,0.99380,0.00022
0.3400,0.99375,0.00022
0.3600,0.99410,0.00022
0.3800,0.99720,0.00022
0.4000,0.99995,0.00022
0.4500,1.00012,0.00022
0.5000,0.99986,0.00022
0.5500,1.00008,0.00022
0.6000,0.99997,0.00022
0.6500,1.00016,0.00022
0.7000,0.99989,0.00022
0.7500,1.00004,0.00022
0.8000,1.00018,0.00022
