# Lumina Exoplanet Transit Photometry Archive
# Target: TOI-700d
# Host Star: TOI-700 (TIC 150428135)
# Period: 37.426 days | Transit Depth: 1420 ppm | Duration: 2.8 hr
# Columns: time_bjd,relative_flux,flux_err
0.0000,1.00008,0.00018
0.0200,0.99994,0.00018
0.0400,1.00012,0.00018
0.0600,0.99986,0.00018
0.0800,1.00005,0.00018
0.1000,0.99998,0.00018
0.1200,0.99890,0.00018
0.1300,0.99858,0.00018
0.1400,0.99858,0.00018
0.1500,0.99862,0.00018
0.1600,0.99920,0.00018
0.1800,1.00002,0.00018
0.2000,0.99991,0.00018
0.2200,1.00014,0.00018
0.2400,0.99988,0.00018
0.2600,1.00006,0.00018
0.2800,0.99995,0.00018
0.3000,1.00011,0.00018
