# Lumina Exoplanet Transit Photometry Archive
# Target: TRAPPIST-1e
# Host Star: TRAPPIST-1 (2MASS J23062928-0502285)
# Period: 6.099615 days | Transit Depth: 4850 ppm | Duration: 1.05 hr
# Columns: time_bjd,relative_flux,flux_err
0.0000,1.00012,0.00016
0.0125,0.99988,0.00016
0.0250,1.00004,0.00016
0.0375,1.00021,0.00016
0.0500,0.99995,0.00016
0.0625,1.00008,0.00016
0.0750,0.99982,0.00016
0.0875,1.00015,0.00016
0.1000,1.00002,0.00016
0.1125,0.99991,0.00016
0.1250,1.00019,0.00016
0.1375,0.99986,0.00016
0.1450,0.99842,0.00016
0.1500,0.99612,0.00016
0.1550,0.99515,0.00016
0.1600,0.99510,0.00016
0.1650,0.99522,0.00016
0.1700,0.99720,0.00016
0.1750,0.99989,0.00016
0.1875,1.00005,0.00016
0.2000,0.99998,0.00016
0.2125,1.00014,0.00016
0.2250,0.99984,0.00016
0.2375,1.00009,0.00016
0.2500,1.00001,0.00016
0.2625,0.99993,0.00016
0.2750,1.00018,0.00016
0.2875,0.99987,0.00016
0.3000,1.00006,0.00016
0.3125,1.00011,0.00016
0.3250,0.99996,0.00016
0.3375,1.00003,0.00016
0.3500,0.99989,0.00016
0.3625,1.00017,0.00016
0.3750,0.99992,0.00016
0.3875,1.00008,0.00016
0.4000,1.00001,0.00016
